ID;r1;r2;r3;r4;rb4;r5;r6;r7;r8;r9;psymp;pcrit;pdeath;influx;Iainit;procentmeas;influx_start;treat1;treat2;treat3;treat4;treat5;treat6;treat7;treat8;treat9;treat10;treat11;treat12;treat13;treat14;treat15;treat16;treat17;treat18;treat19;treat20;treat21;treat22;treat23;treat24;treat25;treat26;treat27;treat28;treat29;treat30;treat31;blockeff_r2;powcrit;death_exp1;death_exp2;death_exp3;death_exp4;death_exp5;death_exp6;death_exp7;death_exp8;death_exp9;death_exp10;death_exp11;death_exp12;death_exp13;death_exp14;death_exp15;death_exp16;death_exp17;death_exp18;death_exp19;death_exp20;crit_exp1;crit_exp2;crit_exp3;crit_exp4;crit_exp5;crit_exp6;crit_exp7;crit_exp8;crit_exp9;crit_exp10;crit_exp11;crit_exp12;crit_exp13;crit_exp14;crit_exp15;crit_exp16;crit_exp17;crit_exp18;crit_exp19;spdeath;death_date1;death_date2;death_date3;death_date4;death_date5;death_date6;death_date7;death_date8;death_date9;death_date10;death_date11;death_date12;death_date13;death_date14;death_date15;death_date16;death_date17;death_date18;death_date19;death_date20;crit_date1;crit_date2;crit_date3;crit_date4;crit_date5;crit_date6;crit_date7;crit_date8;crit_date9;crit_date10;crit_date11;crit_date12;crit_date13;crit_date14;crit_date15;crit_date16;crit_date17;crit_date18;crit_date19;date_treat1;date_treat2;date_treat3;date_treat4;date_treat5;date_treat6;date_treat7;date_treat8;date_treat9;date_treat10;date_treat11;date_treat12;date_treat13;date_treat14;date_treat15;date_treat16;date_treat17;date_treat18;date_treat19;date_treat20;date_treat21;date_treat22;date_treat23;date_treat24;date_treat25;date_treat26;date_treat27;date_treat28;date_treat29;date_treat30;date_treat31;Iamuinit;date_mu;mur;virt_par
1;1,19623581;1,213940117;0,271831314;0,635369841;0,457726562;0,939035886;0,18601436;0,158796502;0,104204848;0,1107774;0,5;0,07565562;0,131153941;6893,88868;50;0,506488524;0;0,672172433;0,148550557;0,212345655;0,133864203;0,171151992;0,198143446;0,10948756;0,174546198;0,165705442;0,425769885;0,143708489;0,265995304;0,192420336;0,260147723;0,3623503;0,248890688;0,196798083;0,215257809;0,258454812;0,246844569;0,117491507;0,418976334;0,155901592;0,179704383;0,236303608;0,206818106;0,231;0,15;0,18;0,12;0,12;0,371812756;1;2,421446007;3,698916346;1,913859786;0,75411328;0,292371245;0,394867657;0,142321036;0,478582562;0,310958221;0,640034096;1,384023994;1,6;2,4;2,9;3,6;2,1;1,1;0,53;0,9;0,929438613;1,075774297;2,459300148;2,265225669;1,208387211;0,883612469;0,334230304;0,334857419;0,309078917;0,236995135;0,325373623;0,390168954;0,422483268;0,634705463;0,642333787;0,937071874;0,67;0,48;0,45;0,422414158;0,040206631;22,57126479;51,70374199;73,63142252;98,4892895;123,177106;148,9814068;175,2806465;198,8187456;220,4598289;241,2284683;265,0595211;277,6474056;296,6766457;306,9516274;325,6473914;341,7482438;356,7319601;371,2148223;381,7724691;12;16,13830746;28,23259015;62,98544958;93,88912702;122,1893987;148,9950235;169,6004464;197,8859034;212,5765628;232,5194394;244,9884168;260,5128858;288,7821034;307,0670629;321,9187077;345,0334056;364,0258806;20;20;1;1;1;24,82768928;50,22454208;1;1;1;79,21925844;92,85874082;100,5089434;119,3549136;159,8818304;178,1506484;211,7031443;227,5877206;1;251,6078925;265,54868;272,941399;1;298,197587;304,483805;313,4061254;337,885028;346,7381565;357,1054892;376,661734;1;1;1;0,05263158;328;1,6;1,009191614
2;1,183944126;1,213940117;0,274308063;0,686728989;0,45862973;1,077471176;0,1827561;0,197112095;0,102174811;0,112243287;0,5;0,120092123;0,392774299;791,2026325;0;0,5;0;0,550202823;0,111103595;0,278355016;0,156606814;0,206587785;0,180510593;0,138799535;0,213899758;0,170971454;0,485887337;0,144966917;0,31386917;0,20143937;0,286971949;0,367572663;0,276063413;0,212333613;0,222731111;0,311991159;0,231259021;0,205414368;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,277428139;1;1,184;2,683376166;2,413203155;0,91866502;0,370069639;0,484827161;0,181532628;0,635437593;0,388851033;0,92350173;0,528;0,78;0,54;0,54;0,54;0,54;0,54;0,54;0,54;0,54;0,948985544;1,660475349;1,662956551;1,237927969;0,949532075;0,7665194;0,386282661;0,290304698;0,295645189;0,333080209;0,249542997;0,249542997;0,249542997;0,249542997;0,249542997;0,249542997;0,249542997;0,249542997;0,249542997;0,01690952;22,31049015;16,66735669;19,56090011;28,29554876;22,38410049;18,98487504;15,94417926;24,99640497;12,84968986;20,39003067;20,39003067;23;23;23;23;23;23;23;23;23;11,50548213;19,67628363;39,05287817;26,05200768;20,81638502;15,40335053;17,17601725;18,56495417;20,07689646;20,07689646;18,01479805;35;9;9;9;9;9;9;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
3;1,1349346;0,839523249;0,28968262;0,696638388;0,396892852;1,080019315;0,179196308;0,218566933;0,124569564;0,107736162;0,5;0,115395872;0,341589082;24,76141728;0;0,5;0;0,550202823;0,111103595;0,278355016;0,156606814;0,206587785;0,180510593;0,138799535;0,213899758;0,170971454;0,485887337;0,144966917;0,31386917;0,20143937;0,286971949;0,367572663;0,276063413;0,212333613;0,222731111;0,311991159;0,231259021;0,205414368;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,292121797;1;1,676352746;1,59552934;1,661584744;0,657952904;0,767632762;0,214351973;0,67;0,5;0,83;0,88;0,72;0,72;0,72;0,72;0,72;0,72;0,72;0,72;0,72;0,72;1,148633693;1,974621551;0,956647215;1,644311397;1,690158541;0,977209922;0,560324077;0,538934913;0,630839083;0,67;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,018030935;25,02895854;19,37314427;19,43609366;45,95759237;20,3508914;17;17;23;19,1038151;19;19;23;23;23;23;23;23;23;23;23;18,50897798;23,50294212;35,52708537;30,53458145;25,87667284;20,65449885;18,88470657;21;20;20;15;35;9;9;9;9;9;9;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
4;1,1349346;0,839523249;0,28968262;0,696638388;0,396892852;1,080019315;0,179196308;0,218566933;0,124569564;0,107736162;0,5;0,115395872;0,341589082;24,76141728;0;0,5;0;0,550202823;0,111103595;0,278355016;0,156606814;0,206587785;0,180510593;0,138799535;0,213899758;0,170971454;0,485887337;0,144966917;0,31386917;0,20143937;0,286971949;0,367572663;0,276063413;0,212333613;0,222731111;0,311991159;0,231259021;0,205414368;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,292121797;1;1,676352746;1,59552934;1,661584744;0,657952904;0,767632762;0,214351973;0,67;0,5;0,83;0,88;0,72;0,72;0,72;0,72;0,72;0,72;0,72;0,72;0,72;0,72;1,148633693;1,974621551;0,956647215;1,644311397;1,690158541;0,977209922;0,560324077;0,538934913;0,630839083;0,67;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,018030935;25,02895854;19,37314427;19,43609366;45,95759237;20,3508914;17;17;23;19,1038151;19;19;23;23;23;23;23;23;23;23;23;18,50897798;23,50294212;35,52708537;30,53458145;25,87667284;20,65449885;18,88470657;21;20;20;15;35;9;9;9;9;9;9;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
5;1,1349346;0,839523249;0,28968262;0,696638388;0,396892852;1,080019315;0,179196308;0,218566933;0,124569564;0,107736162;0,5;0,115395872;0,341589082;24,76141728;0;0,5;0;0,550202823;0,111103595;0,278355016;0,156606814;0,206587785;0,180510593;0,138799535;0,213899758;0,170971454;0,485887337;0,144966917;0,31386917;0,20143937;0,286971949;0,367572663;0,276063413;0,212333613;0,222731111;0,311991159;0,231259021;0,205414368;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,292121797;1;1,676352746;1,59552934;1,661584744;0,657952904;0,767632762;0,214351973;0,67;0,5;0,83;0,88;0,72;0,72;0,72;0,72;0,72;0,72;0,72;0,72;0,72;0,72;1,148633693;1,974621551;0,956647215;1,644311397;1,690158541;0,977209922;0,560324077;0,538934913;0,630839083;0,67;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,018030935;25,02895854;19,37314427;19,43609366;45,95759237;20,3508914;17;17;23;19,1038151;19;19;23;23;23;23;23;23;23;23;23;18,50897798;23,50294212;35,52708537;30,53458145;25,87667284;20,65449885;18,88470657;21;20;20;15;35;9;9;9;9;9;9;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
6;1,1349346;0,839523249;0,28968262;0,696638388;0,396892852;1,080019315;0,179196308;0,218566933;0,124569564;0,107736162;0,5;0,115395872;0,341589082;24,76141728;0;0,5;0;0,550202823;0,111103595;0,278355016;0,156606814;0,206587785;0,180510593;0,138799535;0,213899758;0,170971454;0,485887337;0,144966917;0,31386917;0,20143937;0,286971949;0,367572663;0,276063413;0,212333613;0,222731111;0,311991159;0,231259021;0,205414368;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,292121797;1;1,676352746;1,59552934;1,661584744;0,657952904;0,767632762;0,214351973;0,67;0,5;0,83;0,88;0,72;0,72;0,72;0,72;0,72;0,72;0,72;0,72;0,72;0,72;1,148633693;1,974621551;0,956647215;1,644311397;1,690158541;0,977209922;0,560324077;0,538934913;0,630839083;0,67;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,018030935;25,02895854;19,37314427;19,43609366;45,95759237;20,3508914;17;17;23;19,1038151;19;19;23;23;23;23;23;23;23;23;23;18,50897798;23,50294212;35,52708537;30,53458145;25,87667284;20,65449885;18,88470657;21;20;20;15;35;9;9;9;9;9;9;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
7;1,1349346;0,839523249;0,28968262;0,696638388;0,396892852;1,080019315;0,179196308;0,218566933;0,124569564;0,107736162;0,5;0,115395872;0,341589082;24,76141728;0;0,5;0;0,550202823;0,111103595;0,278355016;0,156606814;0,206587785;0,180510593;0,138799535;0,213899758;0,170971454;0,485887337;0,144966917;0,31386917;0,20143937;0,286971949;0,367572663;0,276063413;0,212333613;0,222731111;0,311991159;0,231259021;0,205414368;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,292121797;1;1,676352746;1,59552934;1,661584744;0,657952904;0,767632762;0,214351973;0,67;0,5;0,83;0,88;0,72;0,72;0,72;0,72;0,72;0,72;0,72;0,72;0,72;0,72;1,148633693;1,974621551;0,956647215;1,644311397;1,690158541;0,977209922;0,560324077;0,538934913;0,630839083;0,67;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,018030935;25,02895854;19,37314427;19,43609366;45,95759237;20,3508914;17;17;23;19,1038151;19;19;23;23;23;23;23;23;23;23;23;18,50897798;23,50294212;35,52708537;30,53458145;25,87667284;20,65449885;18,88470657;21;20;20;15;35;9;9;9;9;9;9;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8;1,1349346;0,839523249;0,28968262;0,696638388;0,396892852;1,080019315;0,179196308;0,218566933;0,124569564;0,107736162;0,5;0,115395872;0,341589082;24,76141728;0;0,5;0;0,550202823;0,111103595;0,278355016;0,156606814;0,206587785;0,180510593;0,138799535;0,213899758;0,170971454;0,485887337;0,144966917;0,31386917;0,20143937;0,286971949;0,367572663;0,276063413;0,212333613;0,222731111;0,311991159;0,231259021;0,205414368;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,292121797;1;1,676352746;1,59552934;1,661584744;0,657952904;0,767632762;0,214351973;0,67;0,5;0,83;0,88;0,72;0,72;0,72;0,72;0,72;0,72;0,72;0,72;0,72;0,72;1,148633693;1,974621551;0,956647215;1,644311397;1,690158541;0,977209922;0,560324077;0,538934913;0,630839083;0,67;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,018030935;25,02895854;19,37314427;19,43609366;45,95759237;20,3508914;17;17;23;19,1038151;19;19;23;23;23;23;23;23;23;23;23;18,50897798;23,50294212;35,52708537;30,53458145;25,87667284;20,65449885;18,88470657;21;20;20;15;35;9;9;9;9;9;9;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
9;1,630049013;0,690537419;0,269987665;0,698045821;0,294607503;1,098211186;0,169637202;0,199503726;0,140083506;0,095397166;39,46926338;0,080272163;0,134485138;147,2768286;0;0,512830058;0,146726543;0,638121104;0,123520356;0,091744743;0,104384419;0,092503508;0,308357207;0,059703103;0,039245359;0,059266196;0,802389988;0,035179374;0,211475594;0,19;0,207331275;0,293337767;0,18;0,15;0,203259954;0,22;0,179967115;0,068270062;0,231220003;0,090821271;0,115674875;0,2;0,17;0,197;0,113;0,15;0,15;0,15;0,243634259;0,622511983;2,203150781;2,019038808;1,00085528;2,414620245;1,506302705;1,155853015;0,737058916;0,401243748;0,298381934;0,532821129;0,903003226;1,092444393;1,800455175;2,478085275;3,034296805;2,603964162;1,093534247;0,371948795;0,792182571;0,896682637;0,925544841;3,610300131;2,397644625;1,687172453;2,505955264;1,274898808;0,715948309;0,941528159;0,511538011;0,602243562;0,650437061;0,615520711;0,989693381;1,079836612;1,884235853;0,995769447;0,65;0,73;0,73;0,056247664;31,08509237;51,5339439;74,68659613;94,82626181;128,1253087;151,4794915;173,4485552;206,4712836;220,2411623;241,2493215;255,4317734;273,496411;288,759063;314,6336324;331,1390643;348,247729;359,7107007;376,9710277;391,0705664;343,6052943;19,94148917;37,87643737;67,60524165;91,36722247;118,5576737;146,9825635;178,2003564;194,8378289;202,2208078;212,9485091;231,3903325;271,4587863;299,2187453;306,8827446;327,994839;346,6537586;365,6837866;393,155926;20;1;1;1;29,33850899;41,09178077;1;1;1;77,59578027;92,46726195;98,57745805;118,0199781;165,8970025;173,840207;211,5690225;228,7169425;1;253,5166198;260,5648762;267,5763331;1;288,3026283;302,477721;313,5541722;335,8562859;345,5804282;362,4274567;377,4655744;1;1;1;0,05263158;328;1,65;1,009865639
10;1,1349346;0,839523249;0,28968262;0,696638388;0,396892852;1,080019315;0,179196308;0,218566933;0,124569564;0,107736162;0,5;0,115395872;0,341589082;24,76141728;0;0,5;0;0,550202823;0,111103595;0,278355016;0,156606814;0,206587785;0,180510593;0,138799535;0,213899758;0,170971454;0,485887337;0,144966917;0,31386917;0,20143937;0,286971949;0,367572663;0,276063413;0,212333613;0,222731111;0,311991159;0,231259021;0,205414368;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,292121797;1;1,676352746;1,59552934;1,661584744;0,657952904;0,767632762;0,214351973;0,67;0,5;0,83;0,88;0,72;0,72;0,72;0,72;0,72;0,72;0,72;0,72;0,72;0,72;1,148633693;1,974621551;0,956647215;1,644311397;1,690158541;0,977209922;0,560324077;0,538934913;0,630839083;0,67;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,2;25,02895854;19,37314427;19,43609366;45,95759237;20,3508914;17;17;23;19,1038151;19;19;23;23;23;23;23;23;23;23;23;18,50897798;23,50294212;35,52708537;30,53458145;25,87667284;20,65449885;18,88470657;21;20;20;15;35;9;9;9;9;9;9;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
